wb_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Finland,16.067939629597348,15.54949523126171,17.042205258897855,17.72556446670073,19.79328334935497,18.783245876321725,15.532837034110882,18.614057313612285,18.158220746248933,15.955685868909766,15.184383943508124,17.420310651618358,15.4145048004084,13.914648710446766,14.147024218928511,12.990647796739507,11.987580101924982
France,113.89123985443831,112.940919933186,113.1005819505295,111.8494251970582,114.23194316981757,114.47306412298649,115.86925738568644,112.89337532159658,110.36324808268816,108.57519047748623,103.65158941100073,106.28320678600477,99.11627566260643,99.7675680335318,99.59704783283941,91.5227673930107,92.76511263451964
Gabon,1.311,1.28,1.3090000000000002,1.247,1.266,1.278,1.3330000000000002,1.138,1.123,1.136,1.181,1.237,1.219,1.249,1.297,1.3225637482715058,1.3708371430758037
"Gambia, The",0.07,0.075,0.077,0.08600000000000001,0.08600000000000001,0.08800000000000001,0.08800000000000001,0.092,0.10800000000000001,0.11199999999999999,0.119,0.129,0.119,0.129,0.134,0.13325422337730766,0.13641768597776968
Georgia,1.185,1.237,1.028,0.924,1.0290000000000001,1.179,1.382,1.6769999999999998,1.751,1.409,1.6130000000000002,1.515,1.8769999999999998,2.006,2.048,2.020984267160634,2.0692681786993266
Germany,244.33532960714246,245.41601174161843,249.878408245202,245.38011582739358,245.71585812537663,241.891129122732,236.3296996857888,239.4590238669214,232.1915100864738,232.85859245421668,215.16844943058675,227.1341741176337,221.7356739531141,222.97760109589797,228.09650577818772,216.39153370976527,217.8819971723501
Ghana,1.786,1.715,1.8869999999999998,2.024,2.081,2.004,1.9069999999999998,2.552,2.68,2.492,2.102,2.715,2.681,3.239,3.987,3.9860998394821983,4.09084173514106
Greece,26.741205882184072,28.116720712360344,28.76836997770445,28.67125169189448,29.783451843590694,29.904765532090288,30.90060654911516,30.507026122844987,31.148349964765767,30.09163906165595,28.376032831290928,26.48337411582029,25.68311789891305,24.75725279649899,22.628445949319183,21.732607641778294,20.701510336189138
Greenland,0.147,0.145,0.147,0.147,0.145,0.159,0.166,0.171,0.17400000000000002,0.18,0.157,0.18100000000000002,0.193,0.155,0.155,0.15877149028118034,0.16233956524908594
Grenada,0.053,0.052000000000000005,0.053,0.055999999999999994,0.059,0.055999999999999994,0.059,0.063,0.065,0.069,0.069,0.07100000000000001,0.069,0.07400000000000001,0.083,0.08501957221508369,0.08693021881080085
Guatemala,2.435,2.7039999999999997,2.898,3.026,2.9530000000000003,3.1689999999999996,3.428,3.4490000000000003,3.443,3.117,3.2319999999999998,3.181,3.228,3.265,3.708,3.833894638943484,3.898923595335146
Guinea,0.34700000000000003,0.34900000000000003,0.354,0.361,0.366,0.366,0.322,0.322,0.33,0.597,0.616,0.71,0.758,0.7040000000000001,0.627,0.6231988068474339,0.6361629857456532
Guinea-Bissau,0.053,0.04,0.040999999999999995,0.042,0.053,0.055,0.057999999999999996,0.059,0.063,0.062,0.064,0.065,0.067,0.069,0.07,0.06953804944326453,0.0711135572954787
Guyana,0.45799999999999996,0.439,0.435,0.431,0.42700000000000005,0.444,0.392,0.35200000000000004,0.426,0.425,0.42700000000000005,0.469,0.486,0.544,0.528,0.5408473991513757,0.5530018738807573
Haiti,0.363,0.373,0.428,0.498,0.473,0.542,0.5660000000000001,0.5760000000000001,0.652,0.654,0.619,0.58,0.605,0.632,0.6559999999999999,0.6709643001479092,0.6851215008270183
Honduras,1.2930000000000001,1.3719999999999999,1.558,1.661,1.8459999999999999,2.009,2.06,1.911,2.394,2.365,2.147,2.1750000000000003,2.4419999999999997,2.45,2.472,2.5493190717046352,2.5950937421616325
"Hong Kong SAR, China",11.649,11.027999999999999,10.350999999999999,10.809,11.824000000000002,11.374,11.964,11.469000000000001,11.923,11.993,11.495,11.115,11.943,11.847999999999999,12.27,12.138279447026193,12.967427470226937
Hungary,16.81035508090056,15.921617648742723,16.374381679895805,16.09394862725394,16.857761898332697,16.43877237567869,16.465476258756798,16.307786867213338,15.944060908064186,15.645513736174586,14.091345530678835,14.221859378402215,13.720760126135966,12.766087566948668,11.98986849802992,11.892305905770133,12.457694622871745
Iceland,0.7247256346740286,0.7447973485539063,0.7397092595703194,0.7630751396489432,0.762206094938232,0.7742983107471922,0.7634592227015415,0.8022043113363979,0.883432133333403,0.9735833132266032,0.9612147133228436,0.9234585749694459,0.9002641074197306,0.8980830871531819,0.9011452821413124,0.8930699325778126,0.9241746520442032
India,271.548,281.389,283.925,287.499,299.863,314.786,333.39599999999996,355.527,383.858,427.70099999999996,474.133,468.964,503.61699999999996,550.451,554.8820000000002,589.9535908056439,620.7232199434733
Indonesia,65.991,71.83500000000002,80.422,83.648,86.39,92.074,93.262,94.115,102.412,113.597,121.737,116.92399999999999,156.362,163.496,130.724,141.6940577203637,146.61674049776448
Iraq,19.712,19.756,23.273000000000003,23.796,24.848000000000003,31.111,30.958,26.935,16.95,25.401999999999997,28.51,30.596,36.523,41.727,45.763000000000005,46.57112831133267,46.88032002787374
Ireland,11.545329656954332,12.315320808478269,12.959257854375632,12.541683998312061,12.432948286439691,12.566157818890055,13.087392027315431,12.938309696727762,12.9620978940611,12.875420378136315,11.461879005962086,11.342323986400027,10.342575171134447,10.379808601581225,10.11174231206267,9.977911730701846,10.166216379583162
"Iran, Islamic Rep.",104.31200000000001,101.576,108.715,109.624,114.164,121.965,127.895,138.959,152.959,158.69799999999998,161.285,165.044,168.84799999999998,175.583,168.25099999999998,174.11390051203858,176.71558768540282
Israel,15.187999999999999,16.433,17.343,16.311,17.150000000000002,16.095,15.530999999999999,17.035999999999998,17.2,18.616,17.581,18.784000000000002,18.852,20.596999999999998,19.382,18.784113445492338,19.579393267236746
Italy,125.50235869786287,126.95826237737516,128.58195325042516,129.23145721743055,133.62322819848794,134.48314836326205,133.983150352162,132.80405746994307,130.5233928058203,127.71113352742073,114.32343801945784,117.05231473645777,113.67345365946056,106.26112538187245,98.8164981703788,93.56623284134164,98.64013024646678
Jamaica,2.721,2.8110000000000004,2.895,2.793,2.9090000000000003,2.91,2.863,3.135,2.6319999999999997,2.7840000000000003,2.1109999999999998,1.979,2.106,1.9980000000000002,2.1069999999999998,2.163384664164397,2.2073091430085605
