,year,country_code,renewable energy share 2000-14,household expenditure 2015,merchandise imports 2000-15,imports of goods and services,industry value added 2000-15,electricity access 2014,urbanization rate,employment ratio,natural resource rents,life expectancy,net migration,women in parliament,internet use
1767,2007 [YR2007],MEX,9.45319352888274,6253.014248371142,290246038000.0,29.324166638736948,362397203193.29956,98.5524368286133,76.923,59.5019989013672,5.57991233190078,75.5879268292683,-409596.0,23.2,20.81
1768,2008 [YR2008],MEX,9.76961813387421,6269.300777310574,318303730000.0,30.17290837377442,360704980982.5196,98.914037,77.227,59.617000579834,6.56994328064244,75.73246341463415,,23.2,21.71
1769,2009 [YR2009],MEX,9.16840588924082,5770.813600611806,241515029000.0,28.754363271898782,338296044672.50366,99.0588760375977,77.527,57.7220001220703,3.7826219719778,75.87741463414635,,27.6,26.34
1770,2010 [YR2010],MEX,9.35997731586583,6003.5552322800395,310205064000.0,31.074883916242662,353714493114.9098,99.236696,77.825,58.6780014038086,4.85468095108734,76.02678048780488,,26.2,31.05
1771,2011 [YR2011],MEX,9.0661768437892,6198.361339374998,361067849000.0,32.5121867050135,365860439776.51825,99.5733184814453,78.118,58.0279998779297,6.91859035466353,76.18565853658536,,26.2,37.1762954125184
1772,2012 [YR2012],MEX,8.96448807300503,6411.0372309343575,380477174000.0,33.76336301594364,376323239927.3924,99.111637,78.407,59.3610000610352,6.61413534217209,76.35409756097562,-523585.0,36.8,39.75
1773,2013 [YR2013],MEX,9.23136316505013,6457.004024379151,390965411000.0,32.662710152947746,374425481738.3739,99.9214477539063,78.691,58.931999206543,5.78006983451299,76.53265853658537,,36.8,43.46
1774,2014 [YR2014],MEX,9.79890332189614,6484.012307071449,411581243000.0,33.36486228623777,384518275795.9851,99.172928,78.971,59.1389999389648,4.86169044127314,76.72185365853659,,37.4,44.39
1775,2015 [YR2015],MEX,,6542.280600272464,405280552000.0,37.09631246978284,388233406953.61786,,79.246,59.4889984130859,2.26483496921619,76.92068292682929,,42.4,57.4310429923633
1776,2000 [YR2000],FSM,1.21722099564646,,106760000.0,,22275798.882681563,46.0,22.33,,0.00746556198768426,67.27524390243902,,0.0,3.73486213690137
1777,2001 [YR2001],FSM,0.817699484905145,,113834000.0,,22779709.497206703,48.1197891235352,22.33,,0.00860390312233918,67.38426829268293,,0.0,4.66052719883673
1778,2002 [YR2002],FSM,1.10035647711847,,104290000.0,,20017787.709497206,49.9045600891113,22.33,,0.00977234036480971,67.50373170731709,-12850.0,0.0,5.57009970478472
1779,2003 [YR2003],FSM,1.10858069906386,,117924000.0,,19059865.92178771,51.6859855651855,22.33,,0.0142991575149049,67.63514634146344,,0.0,9.23250210039423
1780,2004 [YR2004],FSM,1.22783960530748,,132696000.0,,18189944.134078212,53.4679641723633,22.33,,0.0165666293153546,67.77602439024392,,0.0,11.0178673081514
1781,2005 [YR2005],FSM,1.28709329754154,,130214000.0,,17452513.966480445,55.25439453125,22.33,,0.010153971520752,67.92436585365856,,0.0,11.8813690993008
1782,2006 [YR2006],FSM,1.45766656121013,,136758000.0,,13765363.12849162,57.0491752624512,22.324,,0.0125144544373047,68.07419512195122,,0.0,12.7503392500979
1783,2007 [YR2007],FSM,1.4216994697584,,141532000.0,,12905027.932960894,58.8552627563477,22.317,,0.0189750716471326,68.22048780487808,-12132.0,0.0,13.6211327333981
1784,2008 [YR2008],FSM,1.52905293500263,,155208000.0,,13888268.15642458,60.6718521118164,22.311,,0.0322145165812317,68.35926829268294,,0.0,14.49
1785,2009 [YR2009],FSM,1.27582641150022,,171719000.0,,18927374.301675975,62.4971885681152,22.305,,0.02920053730974,68.48953658536585,,0.0,15.35
1786,2010 [YR2010],FSM,1.8368479851243,,167893000.0,,22000000.0,64.5315202481064,22.298,,0.0275354181258015,68.61226829268293,,0.0,20.0
1787,2011 [YR2011],FSM,1.71745448399721,,188081000.0,,24826815.642458096,66.1671142578125,22.303,,0.0355412138234108,68.73100000000001,,0.0,22.8
